pokedex_number,name,generation,genus,type1,type2,base_happiness,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,pokedex_entry
29,Nidoran F,I,Poison Pin Pokémon,Poison,,70,0.4,7.0,55,47,52,40,40,41,"Poison Point, Rivalry, Hustle",,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
30,Nidorina,I,Poison Pin Pokémon,Poison,,70,0.8,20.0,70,62,67,55,55,56,"Poison Point, Rivalry, Hustle",Nidoran-f,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
31,Nidoqueen,I,Drill Pokémon,Poison,Ground,70,1.3,60.0,90,92,87,75,85,76,"Poison Point, Rivalry, Sheer Force",Nidorina,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
32,Nidoran M,I,Poison Pin Pokémon,Poison,,70,0.5,9.0,46,57,40,40,40,50,"Poison Point, Rivalry, Hustle",,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
33,Nidorino,I,Poison Pin Pokémon,Poison,,70,0.9,19.5,61,72,57,55,55,65,"Poison Point, Rivalry, Hustle",Nidoran-m,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
34,Nidoking,I,Drill Pokémon,Poison,Ground,70,1.4,62.0,81,102,77,85,75,85,"Poison Point, Rivalry, Sheer Force",Nidorino,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
35,Clefairy,I,Fairy Pokémon,Fairy,,140,0.6,7.5,70,45,48,60,65,35,"Cute Charm, Magic Guard, Friend Guard",Cleffa,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
36,Clefable,I,Fairy Pokémon,Fairy,,140,1.3,40.0,95,70,73,95,90,60,"Cute Charm, Magic Guard, Unaware",Clefairy,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
37,Vulpix,I,Fox Pokémon,Fire,,70,0.6,9.9,38,41,40,50,65,65,"Flash Fire, Drought",,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
38,Ninetales,I,Fox Pokémon,Fire,,70,1.1,19.9,73,76,75,81,100,100,"Flash Fire, Drought",Vulpix,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
39,Jigglypuff,I,Balloon Pokémon,Normal,Fairy,70,0.5,5.5,115,45,20,45,25,20,"Cute Charm, Competitive, Friend Guard",Igglybuff,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
40,Wigglytuff,I,Balloon Pokémon,Normal,Fairy,70,1.0,12.0,140,70,45,85,50,45,"Cute Charm, Competitive, Frisk",Jigglypuff,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
41,Zubat,I,Bat Pokémon,Poison,Flying,70,0.8,7.5,40,45,35,30,40,55,"Inner Focus, Infiltrator",,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
42,Golbat,I,Bat Pokémon,Poison,Flying,70,1.6,55.0,75,80,70,65,75,90,"Inner Focus, Infiltrator",Zubat,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
43,Oddish,I,Weed Pokémon,Grass,Poison,70,0.5,5.4,45,50,55,75,65,30,"Chlorophyll, Run Away",,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
44,Gloom,I,Weed Pokémon,Grass,Poison,70,0.8,8.6,60,65,70,85,75,40,"Chlorophyll, Stench",Oddish,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
45,Vileplume,I,Flower Pokémon,Grass,Poison,70,1.2,18.6,75,80,85,110,90,50,"Chlorophyll, Effect Spore",Gloom,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,Paras,I,Mushroom Pokémon,Bug,Grass,70,0.3,5.4,35,70,55,45,55,25,"Effect Spore, Dry Skin, Damp",,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes."
47,Parasect,I,Mushroom Pokémon,Bug,Grass,70,1.0,29.5,60,95,80,60,80,30,"Effect Spore, Dry Skin, Damp",Paras,The large mushroom on its back controls it. It often fights over territory with Shiinotic.
48,Venonat,I,Insect Pokémon,Bug,Poison,70,1.0,30.0,60,55,50,40,55,45,"Compound Eyes, Tinted Lens, Run Away",,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
49,Venomoth,I,Poison Moth Pokémon,Bug,Poison,70,1.5,12.5,70,65,60,90,75,90,"Shield Dust, Tinted Lens, Wonder Skin",Venonat,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
50,Diglett,I,Mole Pokémon,Ground,,70,0.2,0.8,10,55,25,35,45,95,"Sand Veil, Arena Trap, Sand Force",,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
51,Dugtrio,I,Mole Pokémon,Ground,,70,0.7,33.3,35,100,50,50,70,120,"Sand Veil, Arena Trap, Sand Force",Diglett,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,I,Scratch Cat Pokémon,Normal,,70,0.4,4.2,40,45,35,40,40,90,"Pickup, Technician, Unnerve",,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
53,Persian,I,Classy Cat Pokémon,Normal,,70,1.0,32.0,65,70,60,65,65,115,"Limber, Technician, Unnerve",Meowth,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
54,Psyduck,I,Duck Pokémon,Water,,70,0.8,19.6,50,52,48,65,50,55,"Damp, Cloud Nine, Swift Swim",,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
55,Golduck,I,Duck Pokémon,Water,,70,1.7,76.6,80,82,78,95,80,85,"Damp, Cloud Nine, Swift Swim",Psyduck,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
56,Mankey,I,Pig Monkey Pokémon,Fighting,,70,0.5,28.0,40,80,35,35,45,70,"Vital Spirit, Anger Point, Defiant",,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still."
57,Primeape,I,Pig Monkey Pokémon,Fighting,,70,1.0,32.0,65,105,60,60,70,95,"Vital Spirit, Anger Point, Defiant",Mankey,"It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however."
58,Growlithe,I,Puppy Pokémon,Fire,,70,0.7,19.0,55,70,45,70,50,60,"Intimidate, Flash Fire, Justified",,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
59,Arcanine,I,Legendary Pokémon,Fire,,70,1.9,155.0,90,110,80,100,80,95,"Intimidate, Flash Fire, Justified",Growlithe,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
60,Poliwag,I,Tadpole Pokémon,Water,,70,0.6,12.4,40,50,40,40,40,90,"Water Absorb, Damp, Swift Swim",,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
61,Poliwhirl,I,Tadpole Pokémon,Water,,70,1.0,20.0,65,65,65,50,50,90,"Water Absorb, Damp, Swift Swim",Poliwag,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
62,Poliwrath,I,Tadpole Pokémon,Water,Fighting,70,1.3,54.0,90,95,95,70,90,70,"Water Absorb, Damp, Swift Swim",Poliwhirl,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward."
63,Abra,I,Psi Pokémon,Psychic,,70,0.9,19.5,25,20,15,105,55,90,"Synchronize, Inner Focus, Magic Guard",,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.
64,Kadabra,I,Psi Pokémon,Psychic,,70,1.3,56.5,40,35,30,120,70,105,"Synchronize, Inner Focus, Magic Guard",Abra,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow."
65,Alakazam,I,Psi Pokémon,Psychic,,70,1.5,48.0,55,50,45,135,95,120,"Synchronize, Inner Focus, Magic Guard",Kadabra,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
66,Machop,I,Superpower Pokémon,Fighting,,70,0.8,19.5,70,80,50,35,35,35,"Guts, No Guard, Steadfast",,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups."
67,Machoke,I,Superpower Pokémon,Fighting,,70,1.5,70.5,80,100,70,50,60,45,"Guts, No Guard, Steadfast",Machop,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
68,Machamp,I,Superpower Pokémon,Fighting,,70,1.6,130.0,90,130,80,65,85,55,"Guts, No Guard, Steadfast",Machoke,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.
69,Bellsprout,I,Flower Pokémon,Grass,Poison,70,0.7,4.0,50,75,35,70,30,40,"Chlorophyll, Gluttony",,"Even though its body is extremely skinny, it is blindingly fast when catching its prey."
70,Weepinbell,I,Flycatcher Pokémon,Grass,Poison,70,1.0,6.4,65,90,50,85,45,55,"Chlorophyll, Gluttony",Bellsprout,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.
71,Victreebel,I,Flycatcher Pokémon,Grass,Poison,70,1.7,15.5,80,105,65,100,70,70,"Chlorophyll, Gluttony",Weepinbell,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,I,Jellyfish Pokémon,Water,Poison,70,0.9,45.5,40,40,35,50,100,70,"Clear Body, Liquid Ooze, Rain Dish",,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.
73,Tentacruel,I,Jellyfish Pokémon,Water,Poison,70,1.6,55.0,80,70,65,80,120,100,"Clear Body, Liquid Ooze, Rain Dish",Tentacool,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves."
74,Geodude,I,Rock Pokémon,Rock,Ground,70,0.4,20.0,40,80,100,30,30,20,"Rock Head, Sturdy, Sand Veil",,"Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs."
75,Graveler,I,Rock Pokémon,Rock,Ground,70,1.0,105.0,55,95,115,45,45,35,"Rock Head, Sturdy, Sand Veil",Geodude,Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.
76,Golem,I,Megaton Pokémon,Rock,Ground,70,1.4,300.0,80,120,130,55,65,45,"Rock Head, Sturdy, Sand Veil",Graveler,"Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity."
77,Ponyta,I,Fire Horse Pokémon,Fire,,70,1.0,30.0,50,85,55,65,65,90,"Run Away, Flash Fire, Flame Body",,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger."
78,Rapidash,I,Fire Horse Pokémon,Fire,,70,1.7,95.0,65,100,70,80,80,105,"Run Away, Flash Fire, Flame Body",Ponyta,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind."
79,Slowpoke,I,Dopey Pokémon,Water,Psychic,70,1.2,36.0,90,65,65,40,40,15,"Oblivious, Own Tempo, Regenerator",,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either."
80,Slowbro,I,Hermit Crab Pokémon,Water,Psychic,70,1.6,78.5,95,75,110,100,80,30,"Oblivious, Own Tempo, Regenerator",Slowpoke,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.
81,Magnemite,I,Magnet Pokémon,Electric,Steel,70,0.3,6.0,25,35,70,95,55,45,"Magnet Pull, Sturdy, Analytic",,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again."
82,Magneton,I,Magnet Pokémon,Electric,Steel,70,1.0,60.0,50,60,95,120,70,70,"Magnet Pull, Sturdy, Analytic",Magnemite,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.
83,Farfetchd,I,Wild Duck Pokémon,Normal,Flying,70,0.8,15.0,52,90,55,58,62,60,"Keen Eye, Inner Focus, Defiant",,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food."
84,Doduo,I,Twin Bird Pokémon,Normal,Flying,70,1.4,39.2,35,85,45,35,35,75,"Run Away, Early Bird, Tangled Feet",,A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.
85,Dodrio,I,Triple Bird Pokémon,Normal,Flying,70,1.8,85.2,60,110,70,60,60,110,"Run Away, Early Bird, Tangled Feet",Doduo,An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.
86,Seel,I,Sea Lion Pokémon,Water,,70,1.1,90.0,65,45,55,45,70,45,"Thick Fat, Hydration, Ice Body",,A Pokémon that lives on icebergs. It swims in the sea using the point on its head to break up ice.
87,Dewgong,I,Sea Lion Pokémon,Water,Ice,70,1.7,120.0,90,70,80,70,95,70,"Thick Fat, Hydration, Ice Body",Seel,"Its body is covered with a pure white fur. The colder the weather, the more active it becomes."
88,Grimer,I,Sludge Pokémon,Poison,,70,0.9,30.0,80,80,50,40,50,25,"Stench, Sticky Hold, Poison Touch",,Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.
89,Muk,I,Sludge Pokémon,Poison,,70,1.2,30.0,105,105,75,65,100,50,"Stench, Sticky Hold, Poison Touch",Grimer,"The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that’s a good thing."
90,Shellder,I,Bivalve Pokémon,Water,,70,0.3,4.0,30,65,100,45,25,40,"Shell Armor, Skill Link, Overcoat",,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.
91,Cloyster,I,Bivalve Pokémon,Water,Ice,70,1.5,132.5,50,95,180,85,45,70,"Shell Armor, Skill Link, Overcoat",Shellder,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
92,Gastly,I,Gas Pokémon,Ghost,Poison,70,1.3,0.1,30,35,30,100,35,80,Levitate,,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
93,Haunter,I,Gas Pokémon,Ghost,Poison,70,1.6,0.1,45,50,45,115,55,95,Levitate,Gastly,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
94,Gengar,I,Shadow Pokémon,Ghost,Poison,70,1.5,40.5,60,65,60,130,75,110,Cursed Body,Haunter,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing."
95,Onix,I,Rock Snake Pokémon,Rock,Ground,70,8.8,210.0,35,45,160,30,45,70,"Rock Head, Sturdy, Weak Armor",,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid."
96,Drowzee,I,Hypnosis Pokémon,Psychic,,70,1.0,32.4,60,48,45,43,90,42,"Insomnia, Forewarn, Inner Focus",,"A Pokémon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna."
97,Hypno,I,Hypnosis Pokémon,Psychic,,70,1.6,75.6,85,73,70,73,115,67,"Insomnia, Forewarn, Inner Focus",Drowzee,"While it is an extremely dangerous Pokémon, people who are in need of a good, sound sleep call it their savior."
98,Krabby,I,River Crab Pokémon,Water,,70,0.4,6.5,30,105,90,25,25,50,"Hyper Cutter, Shell Armor, Sheer Force",,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.
99,Kingler,I,Pincer Pokémon,Water,,70,1.3,60.0,55,130,115,50,50,75,"Hyper Cutter, Shell Armor, Sheer Force",Krabby,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move."
100,Voltorb,I,Ball Pokémon,Electric,,70,0.5,10.4,40,30,50,55,55,100,"Soundproof, Static, Aftermath",,It was discovered when Poké Balls were introduced. It is said that there is some connection.
101,Electrode,I,Ball Pokémon,Electric,,70,1.2,66.6,60,50,70,80,80,150,"Soundproof, Static, Aftermath",Voltorb,"It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.”"
102,Exeggcute,I,Egg Pokémon,Grass,Psychic,70,0.4,2.5,60,40,80,60,45,40,"Chlorophyll, Harvest",,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently."
103,Exeggutor,I,Coconut Pokémon,Grass,Psychic,70,2.0,120.0,95,95,85,125,75,55,"Chlorophyll, Harvest",Exeggcute,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.
104,Cubone,I,Lonely Pokémon,Ground,,70,0.4,6.5,50,50,95,40,50,35,"Rock Head, Lightning Rod, Battle Armor",,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head."
105,Marowak,I,Bone Keeper Pokémon,Ground,,70,1.0,45.0,60,80,110,50,80,45,"Rock Head, Lightning Rod, Battle Armor",Cubone,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
106,Hitmonlee,I,Kicking Pokémon,Fighting,,70,1.5,49.8,50,120,53,35,110,87,"Limber, Reckless, Unburden",Tyrogue,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.
107,Hitmonchan,I,Punching Pokémon,Fighting,,70,1.4,50.2,50,105,79,35,110,76,"Keen Eye, Iron Fist, Inner Focus",Tyrogue,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
108,Lickitung,I,Licking Pokémon,Normal,,70,1.2,65.5,90,55,75,60,75,30,"Own Tempo, Oblivious, Cloud Nine",,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either."
109,Koffing,I,Poison Gas Pokémon,Poison,,70,0.6,1.0,40,65,95,60,45,35,"Levitate, Neutralizing Gas, Stench",,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash."
110,Weezing,I,Poison Gas Pokémon,Poison,,70,1.2,9.5,65,90,120,85,70,60,"Levitate, Neutralizing Gas, Stench",Koffing,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.
111,Rhyhorn,I,Spikes Pokémon,Ground,Rock,70,1.0,115.0,80,85,95,30,30,25,"Lightning Rod, Rock Head, Reckless",,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles."
112,Rhydon,I,Drill Pokémon,Ground,Rock,70,1.9,120.0,105,130,120,45,45,40,"Lightning Rod, Rock Head, Reckless",Rhyhorn,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.
113,Chansey,I,Egg Pokémon,Normal,,140,1.1,34.6,250,5,5,35,105,50,"Natural Cure, Serene Grace, Healer",Happiny,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.
114,Tangela,I,Vine Pokémon,Grass,,70,1.0,35.0,65,55,115,100,40,60,"Chlorophyll, Leaf Guard, Regenerator",,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery."
115,Kangaskhan,I,Parent Pokémon,Normal,,70,2.2,80.0,105,95,80,40,80,90,"Early Bird, Scrappy, Inner Focus",,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs."
116,Horsea,I,Dragon Pokémon,Water,,70,0.4,8.0,30,40,70,70,25,60,"Swift Swim, Sniper, Damp",,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes."
117,Seadra,I,Dragon Pokémon,Water,,70,1.2,25.0,55,65,95,95,45,85,"Poison Point, Sniper, Damp",Horsea,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison."
118,Goldeen,I,Goldfish Pokémon,Water,,70,0.6,15.0,45,67,60,35,50,63,"Swift Swim, Water Veil, Lightning Rod",,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer."
119,Seaking,I,Goldfish Pokémon,Water,,70,1.3,39.0,80,92,65,65,80,68,"Swift Swim, Water Veil, Lightning Rod",Goldeen,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
120,Staryu,I,Star Shape Pokémon,Water,,70,0.8,34.5,30,45,55,70,55,85,"Illuminate, Natural Cure, Analytic",,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm."
121,Starmie,I,Mysterious Pokémon,Water,Psychic,70,1.1,80.0,60,75,85,100,85,115,"Illuminate, Natural Cure, Analytic",Staryu,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.
122,Mr Mime,I,Barrier Pokémon,Psychic,Fairy,70,1.3,54.5,40,45,65,100,120,90,"Soundproof, Filter, Technician",Mime-jr,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.
123,Scyther,I,Mantis Pokémon,Bug,Flying,70,1.5,56.0,70,110,80,55,80,105,"Swarm, Technician, Steadfast",,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree."
124,Jynx,I,Human Shape Pokémon,Ice,Psychic,70,1.4,40.6,65,50,35,115,95,95,"Oblivious, Forewarn, Dry Skin",Smoochum,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice."
125,Electabuzz,I,Electric Pokémon,Electric,,70,1.1,30.0,65,83,57,95,85,105,"Static, Vital Spirit",Elekid,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.
